bits per word: 8
max speed: 500000 Hz (500 KHz)
DIO initialized
DAC initialized
Encoder Initialized
Encoder Initialized


 STEERING --> bringing the steering to the center
 CAN THREAD - Starting can thread
MOTION CONTROLLER THREAD STARTED-----> The given argument was : thread startedEncoder cleared
Encoder cleared

HEARTBEAT_THREAD-----> The given argument was : thread started
CAN_THREAD-----> The given argument was : thread started
 trac_enc= 1480 || steer_enc = -34 || VL0 = 2.9892 || VF0 = 332.7974 || heading = 0
 trac_enc= 1516 || steer_enc = -35 || VL0 = 2.8978 || VF0 = 340.8926 || heading = 0
 trac_enc= 1552 || steer_enc = -36 || VL0 = 2.8019 || VF0 = 348.9879 || heading = 0
 trac_enc= 1588 || steer_enc = -36 || VL0 = 2.7047 || VF0 = 357.0831 || heading = 0
 trac_enc= 1625 || steer_enc = -36 || VL0 = 2.6037 || VF0 = 365.4032 || heading = 0
 trac_enc= 1662 || steer_enc = -36 || VL0 = 2.5015 || VF0 = 373.7233 || heading = 0
 trac_enc= 1700 || steer_enc = -36 || VL0 = 2.3952 || VF0 = 382.2682 || heading = 0
 trac_enc= 1738 || steer_enc = -36 || VL0 = 2.2878 || VF0 = 390.8132 || heading = 0
 trac_enc= 1776 || steer_enc = -36 || VL0 = 2.1790 || VF0 = 399.3582 || heading = 0
 trac_enc= 1814 || steer_enc = -36 || VL0 = 2.0690 || VF0 = 407.9032 || heading = 0
 trac_enc= 1854 || steer_enc = -36 || VL0 = 1.9518 || VF0 = 416.8979 || heading = 0
 trac_enc= 1893 || steer_enc = -36 || VL0 = 1.8363 || VF0 = 425.6677 || heading = 0
 trac_enc= 1933 || steer_enc = -36 || VL0 = 1.7164 || VF0 = 434.6618 || heading = 0
 trac_enc= 1973 || steer_enc = -36 || VL0 = 1.5951 || VF0 = 443.6560 || heading = 0
 trac_enc= 2014 || steer_enc = -36 || VL0 = 1.4693 || VF0 = 452.8750 || heading = 0
 trac_enc= 2054 || steer_enc = -36 || VL0 = 1.3452 || VF0 = 461.8691 || heading = 0
 trac_enc= 2095 || steer_enc = -36 || VL0 = 1.2165 || VF0 = 471.0882 || heading = 0
 trac_enc= 2137 || steer_enc = -36 || VL0 = 1.0832 || VF0 = 480.5320 || heading = 0
 trac_enc= 2178 || steer_enc = -36 || VL0 = 0.9515 || VF0 = 489.7510 || heading = 0
 trac_enc= 2221 || steer_enc = -36 || VL0 = 0.8119 || VF0 = 499.4197 || heading = 0
 trac_enc= 2263 || steer_enc = -36 || VL0 = 0.6740 || VF0 = 508.8636 || heading = 0
 trac_enc= 2306 || steer_enc = -36 || VL0 = 0.5311 || VF0 = 518.5323 || heading = 0
 trac_enc= 2349 || steer_enc = -36 || VL0 = 0.3867 || VF0 = 528.2010 || heading = 0
 trac_enc= 2392 || steer_enc = -36 || VL0 = 0.2407 || VF0 = 537.8697 || heading = 0
 trac_enc= 2435 || steer_enc = -36 || VL0 = 0.0930 || VF0 = 547.5384 || heading = 0
 trac_enc= 2479 || steer_enc = -36 || VL0 = -0.0597 || VF0 = 557.4319 || heading = 0
 trac_enc= 2523 || steer_enc = -36 || VL0 = -0.2142 || VF0 = 567.3255 || heading = 0
 trac_enc= 2568 || steer_enc = -36 || VL0 = -0.3739 || VF0 = 577.4439 || heading = 0
 trac_enc= 2613 || steer_enc = -36 || VL0 = -0.5353 || VF0 = 587.5623 || heading = 0
 trac_enc= 2658 || steer_enc = -36 || VL0 = -0.6985 || VF0 = 597.6807 || heading = 0
 trac_enc= 2703 || steer_enc = -36 || VL0 = -0.8635 || VF0 = 607.7991 || heading = 0
 trac_enc= 2750 || steer_enc = -36 || VL0 = -1.0377 || VF0 = 618.3672 || heading = 0
 trac_enc= 2797 || steer_enc = -36 || VL0 = -1.2139 || VF0 = 628.9354 || heading = 0
 trac_enc= 2844 || steer_enc = -36 || VL0 = -1.3919 || VF0 = 639.5035 || heading = 0
 trac_enc= 2890 || steer_enc = -36 || VL0 = -1.5680 || VF0 = 649.8467 || heading = 0
 trac_enc= 2938 || steer_enc = -37 || VL0 = -1.7576 || VF0 = 660.6397 || heading = 0
 trac_enc= 2986 || steer_enc = -37 || VL0 = -1.9498 || VF0 = 671.4327 || heading = 0
 trac_enc= 3035 || steer_enc = -37 || VL0 = -2.1480 || VF0 = 682.4505 || heading = 0
 trac_enc= 3083 || steer_enc = -38 || VL0 = -2.3480 || VF0 = 693.2430 || heading = 0
 trac_enc= 3132 || steer_enc = -40 || VL0 = -2.5613 || VF0 = 704.2600 || heading = 0
 trac_enc= 3182 || steer_enc = -43 || VL0 = -2.7906 || VF0 = 715.5015 || heading = 0
 trac_enc= 3232 || steer_enc = -46 || VL0 = -3.0346 || VF0 = 726.7429 || heading = 0
 trac_enc= 3283 || steer_enc = -50 || VL0 = -3.3030 || VF0 = 738.2087 || heading = 0
 trac_enc= 3334 || steer_enc = -54 || VL0 = -3.5931 || VF0 = 749.6741 || heading = 0
 trac_enc= 3385 || steer_enc = -57 || VL0 = -3.9033 || VF0 = 761.1386 || heading = 0
 trac_enc= 3437 || steer_enc = -61 || VL0 = -4.2397 || VF0 = 772.8278 || heading = 0
 trac_enc= 3489 || steer_enc = -62 || VL0 = -4.5919 || VF0 = 784.5162 || heading = 0
 trac_enc= 3543 || steer_enc = -63 || VL0 = -4.9673 || VF0 = 796.6537 || heading = 0
 trac_enc= 3596 || steer_enc = -64 || VL0 = -5.3441 || VF0 = 808.5665 || heading = 0
 trac_enc= 3650 || steer_enc = -65 || VL0 = -5.7372 || VF0 = 820.7036 || heading = 0
 trac_enc= 3703 || steer_enc = -66 || VL0 = -6.1325 || VF0 = 832.6156 || heading = 0
 trac_enc= 3759 || steer_enc = -66 || VL0 = -6.5566 || VF0 = 845.2018 || heading = 0
 trac_enc= 3814 || steer_enc = -66 || VL0 = -6.9780 || VF0 = 857.5632 || heading = 0
 trac_enc= 3869 || steer_enc = -66 || VL0 = -7.4043 || VF0 = 869.9246 || heading = 0
 trac_enc= 3927 || steer_enc = -67 || VL0 = -7.8620 || VF0 = 882.9595 || heading = 0
 trac_enc= 3983 || steer_enc = -67 || VL0 = -8.3112 || VF0 = 895.5444 || heading = 0
 trac_enc= 4039 || steer_enc = -67 || VL0 = -8.7655 || VF0 = 908.1294 || heading = 0
 trac_enc= 4097 || steer_enc = -67 || VL0 = -9.2413 || VF0 = 921.1638 || heading = 0
 trac_enc= 4154 || steer_enc = -67 || VL0 = -9.7143 || VF0 = 933.9735 || heading = 0
 trac_enc= 4212 || steer_enc = -66 || VL0 = -10.1980 || VF0 = 947.0079 || heading = 0
 trac_enc= 4272 || steer_enc = -66 || VL0 = -10.7017 || VF0 = 960.4918 || heading = 0
 trac_enc= 4331 || steer_enc = -66 || VL0 = -11.2027 || VF0 = 973.7501 || heading = 0
 trac_enc= 4390 || steer_enc = -66 || VL0 = -11.7092 || VF0 = 987.0081 || heading = 0
 trac_enc= 4450 || steer_enc = -66 || VL0 = -12.2300 || VF0 = 1000.4908 || heading = 0
